Source	Target	Type	id	weight
2170	2172	Directed	248	1.0
2172	2173	Directed	249	1.0
2173	2174	Directed	250	1.0
2174	2175	Directed	251	1.0
2174	2176	Directed	252	1.0
2173	2177	Directed	253	1.0
2177	2178	Directed	254	1.0
2177	2180	Directed	255	1.0
2177	2182	Directed	256	1.0
2177	2184	Directed	257	1.0
2172	2185	Directed	258	1.0
2185	2186	Directed	259	1.0
2186	2187	Directed	260	1.0
2186	2188	Directed	261	1.0
2185	2189	Directed	262	1.0
2189	2190	Directed	263	1.0
2189	2191	Directed	264	1.0
2189	2193	Directed	265	1.0
2172	2194	Directed	266	1.0
2194	2195	Directed	267	1.0
2194	2197	Directed	268	1.0
2194	2198	Directed	269	1.0
2194	2199	Directed	270	1.0
2194	2200	Directed	271	1.0
2172	2201	Directed	272	1.0
2201	2202	Directed	273	1.0
2201	2204	Directed	274	1.0
2204	2205	Directed	275	1.0
2204	2207	Directed	276	1.0
2204	2209	Directed	277	1.0
2172	2211	Directed	278	1.0
2211	2212	Directed	279	1.0
2211	2213	Directed	280	1.0
2211	2214	Directed	281	1.0
2211	2215	Directed	282	1.0
2170	2216	Directed	283	1.0
2216	2217	Directed	284	1.0
2216	2218	Directed	285	1.0
2218	2219	Directed	286	1.0
2218	2221	Directed	287	1.0
2221	2222	Directed	288	1.0
2221	2223	Directed	289	1.0
2223	2224	Directed	290	1.0
2223	2226	Directed	291	1.0
2223	2227	Directed	292	1.0
2218	2229	Directed	293	1.0
2216	2231	Directed	294	1.0
2231	2232	Directed	295	1.0
2231	2235	Directed	296	1.0
2231	2237	Directed	297	1.0
2237	2238	Directed	298	1.0
2237	2239	Directed	299	1.0
2237	2240	Directed	300	1.0
2231	2241	Directed	301	1.0
2231	2243	Directed	302	1.0
2216	2245	Directed	303	1.0
2245	2246	Directed	304	1.0
2245	2247	Directed	305	1.0
2245	2249	Directed	306	1.0
2245	2250	Directed	307	1.0
2245	2251	Directed	308	1.0
2245	2252	Directed	309	1.0
2216	2253	Directed	310	1.0
2253	2254	Directed	311	1.0
2254	2255	Directed	312	1.0
2254	2257	Directed	313	1.0
2254	2258	Directed	314	1.0
2253	2259	Directed	315	1.0
2253	2261	Directed	316	1.0
2253	2263	Directed	317	1.0
2170	2265	Directed	318	1.0
2265	2266	Directed	319	1.0
2266	2267	Directed	320	1.0
2266	2268	Directed	321	1.0
2266	2269	Directed	322	1.0
2266	2271	Directed	323	1.0
2266	2272	Directed	324	1.0
2266	2273	Directed	325	1.0
2265	2274	Directed	326	1.0
2274	2275	Directed	327	1.0
2275	2276	Directed	328	1.0
2275	2277	Directed	329	1.0
2274	2279	Directed	330	1.0
2274	2281	Directed	331	1.0
2265	2283	Directed	332	1.0
2283	2284	Directed	333	1.0
2283	2286	Directed	334	1.0
2286	2287	Directed	335	1.0
2286	2288	Directed	336	1.0
2283	2289	Directed	337	1.0
2283	2291	Directed	338	1.0
2283	2294	Directed	339	1.0
2265	2296	Directed	340	1.0
2296	2297	Directed	341	1.0
2296	2300	Directed	342	1.0
2300	2301	Directed	343	1.0
2300	2302	Directed	344	1.0
2300	2304	Directed	345	1.0
2304	2306	Directed	346	1.0
2304	2307	Directed	347	1.0
2296	2308	Directed	348	1.0
2308	2309	Directed	349	1.0
2308	2310	Directed	350	1.0
2308	2311	Directed	351	1.0
2296	2312	Directed	352	1.0
2312	2313	Directed	353	1.0
2312	2315	Directed	354	1.0
2312	2316	Directed	355	1.0
2312	2317	Directed	356	1.0
2312	2318	Directed	357	1.0
2296	2319	Directed	358	1.0
2265	2321	Directed	359	1.0
2321	2322	Directed	360	1.0
2321	2323	Directed	361	1.0
2321	2325	Directed	362	1.0
2321	2326	Directed	363	1.0
2321	2327	Directed	364	1.0
2170	2328	Directed	365	1.0
2328	2329	Directed	366	1.0
2329	2330	Directed	367	1.0
2329	2333	Directed	368	1.0
2333	2334	Directed	369	1.0
2333	2335	Directed	370	1.0
2329	2336	Directed	371	1.0
2336	2337	Directed	372	1.0
2336	2338	Directed	373	1.0
2329	2340	Directed	374	1.0
2329	2342	Directed	375	1.0
2329	2344	Directed	376	1.0
2329	2346	Directed	377	1.0
2328	2348	Directed	378	1.0
2348	2349	Directed	379	1.0
2348	2351	Directed	380	1.0
2351	2352	Directed	381	1.0
2351	2353	Directed	382	1.0
2351	2355	Directed	383	1.0
2348	2356	Directed	384	1.0
2348	2358	Directed	385	1.0
2358	2359	Directed	386	1.0
2358	2360	Directed	387	1.0
2358	2361	Directed	388	1.0
2358	2362	Directed	389	1.0
2348	2363	Directed	390	1.0
2348	2365	Directed	391	1.0
2348	2367	Directed	392	1.0
2328	2369	Directed	393	1.0
2369	2370	Directed	394	1.0
2369	2373	Directed	395	1.0
2373	2374	Directed	396	1.0
2373	2375	Directed	397	1.0
2369	2376	Directed	398	1.0
2369	2378	Directed	399	1.0
2369	2380	Directed	400	1.0
2380	2381	Directed	401	1.0
2380	2382	Directed	402	1.0
2380	2383	Directed	403	1.0
2380	2384	Directed	404	1.0
2369	2385	Directed	405	1.0
2170	2387	Directed	406	1.0
2387	2388	Directed	407	1.0
2388	2389	Directed	408	1.0
2388	2391	Directed	409	1.0
2388	2392	Directed	410	1.0
2388	2394	Directed	411	1.0
2387	2396	Directed	412	1.0
2387	2397	Directed	413	1.0
2397	2398	Directed	414	1.0
2397	2400	Directed	415	1.0
2400	2401	Directed	416	1.0
2400	2403	Directed	417	1.0
2400	2405	Directed	418	1.0
2400	2406	Directed	419	1.0
2397	2407	Directed	420	1.0
2170	2409	Directed	421	1.0
2409	2410	Directed	422	1.0
2410	2411	Directed	423	1.0
2410	2413	Directed	424	1.0
2410	2415	Directed	425	1.0
2415	2416	Directed	426	1.0
2415	2417	Directed	427	1.0
2410	2418	Directed	428	1.0
2410	2420	Directed	429	1.0
2410	2422	Directed	430	1.0
2410	2424	Directed	431	1.0
2409	2426	Directed	432	1.0
2426	2427	Directed	433	1.0
2427	2428	Directed	434	1.0
2427	2429	Directed	435	1.0
2426	2430	Directed	436	1.0
2430	2431	Directed	437	1.0
2430	2432	Directed	438	1.0
2430	2433	Directed	439	1.0
2430	2434	Directed	440	1.0
2426	2435	Directed	441	1.0
2435	2436	Directed	442	1.0
2435	2437	Directed	443	1.0
2435	2438	Directed	444	1.0
2435	2439	Directed	445	1.0
2435	2440	Directed	446	1.0
2435	2441	Directed	447	1.0
2426	2442	Directed	448	1.0
2409	2444	Directed	449	1.0
2444	2445	Directed	450	1.0
2444	2447	Directed	451	1.0
2447	2448	Directed	452	1.0
2447	2449	Directed	453	1.0
2447	2450	Directed	454	1.0
2447	2451	Directed	455	1.0
2447	2452	Directed	456	1.0
2170	2453	Directed	457	1.0
2453	2454	Directed	458	1.0
2454	2455	Directed	459	1.0
2455	2456	Directed	460	1.0
2455	2457	Directed	461	1.0
2455	2458	Directed	462	1.0
2455	2459	Directed	463	1.0
2454	2460	Directed	464	1.0
2454	2462	Directed	465	1.0
2453	2464	Directed	466	1.0
2464	2465	Directed	467	1.0
2464	2467	Directed	468	1.0
2464	2469	Directed	469	1.0
2464	2471	Directed	470	1.0
2464	2473	Directed	471	1.0
2464	2475	Directed	472	1.0
2475	2476	Directed	473	1.0
2475	2477	Directed	474	1.0
2475	2478	Directed	475	1.0
2475	2479	Directed	476	1.0
2453	2480	Directed	477	1.0
2480	2481	Directed	478	1.0
2480	2484	Directed	479	1.0
2484	2485	Directed	480	1.0
2484	2486	Directed	481	1.0
2480	2487	Directed	482	1.0
2487	2488	Directed	483	1.0
2487	2489	Directed	484	1.0
2480	2490	Directed	485	1.0
2480	2493	Directed	486	1.0
2453	2496	Directed	487	1.0
2496	2497	Directed	488	1.0
2496	2499	Directed	489	1.0
2499	2500	Directed	490	1.0
2499	2501	Directed	491	1.0
2499	2502	Directed	492	1.0
2499	2503	Directed	493	1.0
2496	2504	Directed	494	1.0
2504	2505	Directed	495	1.0
2504	2506	Directed	496	1.0
2504	2508	Directed	497	1.0
2504	2509	Directed	498	1.0
2504	2510	Directed	499	1.0
2170	2511	Directed	500	1.0
2511	2512	Directed	501	1.0
2511	2513	Directed	502	1.0
2513	2514	Directed	503	1.0
2513	2515	Directed	504	1.0
