Source	Target	Type	id	weight
1953	1963	Directed	63	1.0
1953	1958	Directed	58	1.0
1953	1957	Directed	57	1.0
1953	1956	Directed	56	1.0
1953	1955	Directed	55	1.0
1953	1954	Directed	54	1.0
1923	1926	Directed	26	1.0
1923	1924	Directed	24	1.0
1911	1915	Directed	15	1.0
1911	1914	Directed	14	1.0
1911	1913	Directed	13	1.0
1911	1912	Directed	12	1.0
1905	1910	Directed	10	1.0
1905	1909	Directed	9	1.0
1905	1908	Directed	8	1.0
1905	1907	Directed	7	1.0
1905	1906	Directed	6	1.0
1921	1932	Directed	32	1.0
1921	1928	Directed	28	1.0
1921	1923	Directed	23	1.0
1921	1922	Directed	22	1.0
1945	1948	Directed	48	1.0
1945	1947	Directed	47	1.0
1945	1946	Directed	46	1.0
1916	1919	Directed	19	1.0
1916	1918	Directed	18	1.0
1916	1917	Directed	17	1.0
1903	1916	Directed	16	1.0
1903	1904	Directed	4	1.0
1920	1953	Directed	53	1.0
1920	1945	Directed	45	1.0
1920	1933	Directed	33	1.0
1920	1921	Directed	21	1.0
1928	1931	Directed	31	1.0
1928	1930	Directed	30	1.0
1928	1929	Directed	29	1.0
1904	1911	Directed	11	1.0
1904	1905	Directed	5	1.0
1901	1920	Directed	20	1.0
1901	1903	Directed	3	1.0
1948	1952	Directed	52	1.0
1948	1951	Directed	51	1.0
1948	1950	Directed	50	1.0
1948	1949	Directed	49	1.0
