Id	Label
1	Britannica
2	Matter and Energy
1237	The Earth
1899	Life on Earth
2808	Human Life
3319	Human Society
4282	Art
4829	Technology
5666	Religion
6320	The History of Mankind
9380	The Branches of Knowledge
