Source	Target	Type	Id	Weight
1	5666	Directed	1	1.0
5666	5668	Directed	2	1.0
5668	5670	Directed	3	1.0
5670	5671	Directed	4	1.0
5671	5672	Directed	5	1.0
5672	5673	Directed	6	1.0
5672	5674	Directed	7	1.0
5672	5675	Directed	8	1.0
5672	5676	Directed	9	1.0
5671	5677	Directed	10	1.0
5677	5678	Directed	11	1.0
5677	5679	Directed	12	1.0
5670	5680	Directed	13	1.0
5670	5682	Directed	14	1.0
5670	5684	Directed	15	1.0
5684	5685	Directed	16	1.0
5685	5686	Directed	17	1.0
5685	5687	Directed	18	1.0
5685	5688	Directed	19	1.0
5684	5689	Directed	20	1.0
5684	5690	Directed	21	1.0
5690	5691	Directed	22	1.0
5690	5692	Directed	23	1.0
5690	5693	Directed	24	1.0
5693	5694	Directed	25	1.0
5693	5695	Directed	26	1.0
5693	5696	Directed	27	1.0
5690	5697	Directed	28	1.0
5684	5698	Directed	29	1.0
5684	5699	Directed	30	1.0
5684	5700	Directed	31	1.0
5684	5701	Directed	32	1.0
5684	5702	Directed	33	1.0
5684	5703	Directed	34	1.0
5684	5704	Directed	35	1.0
5684	5705	Directed	36	1.0
5670	5706	Directed	37	1.0
5670	5708	Directed	38	1.0
5708	5709	Directed	39	1.0
5708	5710	Directed	40	1.0
5708	5711	Directed	41	1.0
5708	5712	Directed	42	1.0
5708	5713	Directed	43	1.0
5708	5714	Directed	44	1.0
5708	5715	Directed	45	1.0
5708	5716	Directed	46	1.0
5670	5717	Directed	47	1.0
5717	5718	Directed	48	1.0
5717	5719	Directed	49	1.0
5717	5720	Directed	50	1.0
5717	5721	Directed	51	1.0
5717	5722	Directed	52	1.0
5668	5723	Directed	53	1.0
5723	5724	Directed	54	1.0
5724	5725	Directed	55	1.0
5725	5726	Directed	56	1.0
5725	5727	Directed	57	1.0
5725	5728	Directed	58	1.0
5725	5729	Directed	59	1.0
5724	5730	Directed	60	1.0
5724	5731	Directed	61	1.0
5731	5732	Directed	62	1.0
5731	5733	Directed	63	1.0
5731	5734	Directed	64	1.0
5731	5735	Directed	65	1.0
5731	5736	Directed	66	1.0
5731	5737	Directed	67	1.0
5724	5738	Directed	68	1.0
5723	5739	Directed	69	1.0
5739	5740	Directed	70	1.0
5739	5741	Directed	71	1.0
5739	5742	Directed	72	1.0
5739	5743	Directed	73	1.0
5723	5744	Directed	74	1.0
5744	5745	Directed	75	1.0
5744	5746	Directed	76	1.0
5744	5747	Directed	77	1.0
5744	5748	Directed	78	1.0
