Id	Label
1	Britannica
1237	The Earth
1239	The Earth's Properties,Structure,and Composition
1241	The Planet Earth
1257	The Earth's Physical Properties
1309	The Structure and Composition of the Earth's Interior
1335	The Earth's Constituent Minerals and Rocks
1242	The orbital motions of the Earth
1248	The figure of the Earth
1258	The Earth's gravitational field
1265	The Earth's magmetic field
1269	The Earth's electrical properties
1273	The Earth's thermal properties
1280	The mechanical properties of the Earth
1289	Physical properties of Earth materials
1296	The deformation of materials in the Earth's crust
1310	The Earth's concentric layers
1318	Earthquakes: sources of seismic waves within the Earth
1323	Distribution of elements in the Earth core,mantle,and crust
1325	The indirect geophysical and geochemical evidence used to infer the structure and composition of the Earth's interior
1336	The mineral constituents of the Earth
1378	Rocks and other constituents of the Earth's crust
1426	Occurrence of the elements in the Earth and its envelope
1243	The revolution of the Earth about the Sun,the rotation of the Earth on its axis
1244	Forces and dynamic effects related to the rotation of the Earth
1249	The conventional definition of the figure of the Earth:the geoid
1250	The development of improved approximations to the Earth's size and shape
1251	The world geodetic system:the measurement of geodetic parameters
1255	International reference systems
1259	Characteristics of the terrestrial field
1260	Measurement of gravitational acceleration
1261	Interpretation of gravity data:inference about the Earth,s interior
1266	Measurement and representation of magnetic fields
1267	Sources and characteristics of the Earth's main magnetic field
1268	Variations in the main magnetic field including polarity reversals,magnetic storms,magnetospheric substorms,and magnetic pulsations
1270	Currents produced by the motion of charged particles in the Earth's ionoshpere
1271	Electrical conductivity and dielectric behaviour of the Earth's rocks and minerals
1272	Currents induced by magnetic field variations,currents generated by the Earth's core
1274	Sources of the Earth's heat
1275	Transmission of heat from the Earth's interior to its surface
1277	Geological aspects of heat flow
1279	Surface manifestations of heat flow: volcanoes, hot springs, geysers, and related phenomena
1281	The fundamental mechanical properties of the Earth's body and the indirect evidence used todetermine them
1282	Nature of deformable media
1284	The basic internal mechanical properties of the Earth
1285	The Earth's departures from spherical symmetry
1287	Anelasticity in the Earth
1288	Response of the Earth to stresses of long duration
1290	Volumetric properties: rock density and porosity
1291	Mechanical properties
1292	Thermal properties: specific heal and thermal conductivity, thermal expansion and rock melting
1293	Magnetic and electrical properties
1294	Hydraulic properties:porosity and permeability,the capacity to store and transmit fluids
1295	Optical properties: colour, lustre
1297	Stress and strain of rocks
1300	Folding of rocks
1306	Fracture in rocks; joints, faults
1307	Structural interference the superposition of strains produced by the tectonic events of different ages
1308	The deformation of ice in sheets and glaciers
1311	Physical properties and zonal structure of the Earth
1312	The basic divisions of the solid Earth
1317	The development of the Earth's structure and composition
1319	Causes of earthquakes
1320	Distribution of earthquakes
1321	Magnitude,motion,and energy of earthquakes
1322	Seismic measurements and their interpretation
1326	Geophysical evidence, mainly from earthquake analyses
1329	Geochemical evidence
1337	The chemical composition, internal structure, and morphology of minerals
1338	The physical properties of minerals
1340	Classification of minerals in terms of crystal structure and chemical composition
1359	The occurrence of minerals in nature
1379	Igneous rocks
1391	Sedimentary rocks
1407	Melamorphic rocks
1413	The rock associations formed in different environments of the Earth's crust
1421	Fossil fuels
1427	Core
1428	Mantle (depleted and undepleted)
1429	Crust: igneous, sedimentary, and metamorphic rocks; soils
1430	Hydrosphere
1431	Atmosphere
1432	Biosphere: selective concentration of elements by plants and animals
1433	The geochemical cycle
1245	The Coriolis force
1246	The effects of centrifugal force
1247	Tidal friction
1252	The astrogravimetric method
1253	Satellite measurements
1254	Correlation of data from differfent methods
1262	Isostasy
1264	Gravity anomalies
1298	Response to stress
1299	Elastic and plastic deformation
1301	Tectonic folding
1302	Foliation, lineation
1303	Nappes (large rock sheets thrust over other rock formations)
1304	Salt domes and other diapiric structures
1305	Nontectonic folding; e.g., slumping of recently deposited sediments
1313	The crust: the Earth's outer layer, which may be diircrcntiated into continental and oceanic crust
1314	The Mohorovicic discontinuity: the zone that separates crust from mantle
1315	The mantle: the layer between crust and core that composes the bulk of the Earth's volume
1316	The core: the Earth's innermost region, thought to be molten liquid except for a solid inner portion
1327	Seismic wave velocities
1328	Density distribution
1330	Investigations of geochemical equilibria at high temperatures and pressures
1332	The composition and mineralogy of meteorites that may correspond to rocks forming the Earth's interior
1333	Evidence from crustal igneous rocks that are derived from the upper mantle
1341	The principal nonsilicate minerals
1352	The silicate minerals
1360	The major rock-forming mineral groups
1372	The occurrence of mineral associations and phase equilibrium
1376	Ore deposits: concentrations of metals and metalliferous minerals
1377	Minerals of gem quality
1380	Properties of igneous rocks, composition, texture, and structure
1381	Classification of igneous rocks
1382	Formation of igneous rocks: magmas
1383	Distribution and abundance of igneous rocks
1384	Principal families of igneous rocks
1392	Properties of sedimentary rocks: texture and mineralogical and geochemical composition
1393	Classification systems: clastic, nonclastic
1394	Sedimentary structures
1395	Sedimentary environments: marine,nonmarine
1396	Principal types of sedimentary rocks
1406	Distribution of sedimentary rocks through time
1408	Metamorphic variables: temperature, pressure, and rock composition
1409	Textural and structural features
1410	Origin of metamorphic rocks
1411	Rocks of the principal facies
1412	Distribution of metamorphic rocks
1414	In the oceanic regions: basaltic lavas, reef limestones, abyssal sediments of the deep oceans
1415	In the stable continental regions: conglomerates, sandstones, evaporites, coal measures
1416	In the continental borderlands: sandstones, shales, limestones
1417	In the island arcs: andesite and spilite lavas, ultrabasic intrusive rocks, graywackes, shales
1418	In the major mountain ranges
1420	In the piedmont regions that are adjacent to mountain ranges: gabbros, basalts, arkoses
1422	Coals
1423	Petroleum
1424	Tar sands and oil shales
1425	Natural gas
1342	Native elements
1343	Sulfides and sulfarsenides
1344	Sulfosalts
1345	Oxides and hydroxides
1346	Halides
1347	Carbonates
1348	Nitrates
1349	Borates
1350	Sulfates
1351	Phosphates
1353	Silicate structure and composition, the basic structural unit, the silicon-oxygen tetrahedron
1354	Isolated and double tetrahedral group silicates
1355	Ring silicates
1356	Chain silicates
1357	Sheet silicates
1358	Framework silicate
1361	The olivines; e.g., forstcruc, fayalitc
1362	The pyroxenes; e.g., augitc, jadcite
1363	The amphiboles; eg., hornblende, tremolite
1364	The micas; eg., muscovite, biotite
1365	The feldspars; e.g., orthoclase, albite
1366	The feldspathoids; e.g., nepheline, leucite
1367	The silica minerals; e.g., quartz, tridymite
1368	The clay minerals; eg., kaolinite, illite
1369	The carbonates: e.g., calcite. dolomite
1370	The garnets; e.g., almandine, pvrope
1371	Other major rock-forming minerals; e.g., magnetite, pyrite
1373	In igneous and metamorphic rocks
1374	In sedimentary rocks and precipitates
1375	In the Moon, planets, and meteontes
1385	The intrusive igneous rocks that result when magma cools and solidifies below the surface of the Earth
