Source	Target	Type	Id	Weight
1	6320	Directed	1	1.0
6320	7609	Directed	2	1.0
7609	7611	Directed	3	1.0
7611	7612	Directed	4	1.0
7611	7613	Directed	5	1.0
7613	7614	Directed	6	1.0
7613	7615	Directed	7	1.0
7613	7617	Directed	8	1.0
7613	7619	Directed	9	1.0
7613	7621	Directed	10	1.0
7611	7623	Directed	11	1.0
7623	7624	Directed	12	1.0
7624	7625	Directed	13	1.0
7624	7626	Directed	14	1.0
7624	7628	Directed	15	1.0
7624	7629	Directed	16	1.0
7624	7631	Directed	17	1.0
7624	7633	Directed	18	1.0
7623	7635	Directed	19	1.0
7635	7636	Directed	20	1.0
7635	7637	Directed	21	1.0
7609	7638	Directed	22	1.0
7638	7639	Directed	23	1.0
7638	7640	Directed	24	1.0
7640	7641	Directed	25	1.0
7641	7642	Directed	26	1.0
7641	7643	Directed	27	1.0
7641	7645	Directed	28	1.0
7641	7647	Directed	29	1.0
7640	7649	Directed	30	1.0
7649	7650	Directed	31	1.0
7650	7651	Directed	32	1.0
7650	7652	Directed	33	1.0
7649	7653	Directed	34	1.0
7649	7655	Directed	35	1.0
7655	7656	Directed	36	1.0
7655	7657	Directed	37	1.0
7638	7658	Directed	38	1.0
7658	7659	Directed	39	1.0
7658	7661	Directed	40	1.0
7658	7663	Directed	41	1.0
7638	7665	Directed	42	1.0
